Name of CIS,Location,Source of Water,Scheme of Irrigation,Service Area (Has.),Firmed-Up Service Area (Has.),Operational Area (Has.),No. of Farmer Beneficiaries,Name of IA,Main Canal(s),Lateral(s) & Sub-Lateral(s)
TIMBAO-BUKAL-BUKAL CIS,"Brgy. Timbao, Bukal & Tubigan, BiÃÂ±an, Laguna",Bukal Spring ,Gravity,700,200,150,77,"Samahang Magpapatubig ng BiÃÂ±an, Laguna, Inc.",6919.0,4835.0
DILA CIS,"Brgy. Dila & San Isidro, Bay, Laguna",San Nicolas River,Gravity,156,125,125,59,"Dila-San Isidro Irrigators' Association, Inc.",1936.0,2979.0
 Ma. PELAEZ CIS,,San Nicolas River,Gravity,113,101,101,44,"Ma. Pelaez Farmers Irrigators' Association, Inc.",1413.0,4124.0
PUYPUY CIS,,Paputok River,Gravity,124,90,90,72," Puypuy Irrigators' Association, Inc.",2901.0,0.0
BANGYAS CIS,,Prinza River,Gravity,163,163,163,104,"Bangyas-Santol Irrigators' Association, Inc.",2590.0,2912.0
DAYAP CIS,,PeÃ±alosa Creek,Gravity,49,49,49,34,"Magbubukid ng Dayap Irrigators' Association, Inc.",1872.0,1378.0
PEREZ CIS,,Spring,Gravity,69,69,69,36,"Perez Rice Farmers of Calauan, Laguna Irrigators' Association, Inc.",1872.0,1378.0
LAMOT I (SAN ISIDRO) CIS,,Prinza River,Gravity,65,65,65,34,"Lamot I Farmers Irrigators' Association, Inc.",3521.0,
LAMOT II CIS,,Kawa-kawa spring,Gravity,52,52,52,38,"Brgy. Lamot II Irrigators' Service Association, Inc.",3000.0,
CANLUBANG CIS,,Paputok River ,Gravity,97,97,80,88,"Sampalucan Canlubang Farmers Irrigators' Association, Inc.",1125.0,
MASIIT CIS,,Prinza River,Gravity,126,126,126,85,"Pinag-isang Magsasaka ng Masiit Irrigators' Association, Inc.",6878.0,8883.0
PRINZA CIS,,Prinza River,Gravity,473,378,378,214,"Pinag-isang Magsasaka ng Masiit Irrigators' Association, Inc.",2015.0,2222.0
ARJONA CIS,,Sta. Cruz (Lapad) River ,Gravity,34,34,34,31,"Palagaran Irrigators' Association, Inc.",4545.0,
CALUMPANG CIS,,Sta. Cruz (Lapad) River ,Gravity,26,26,26,17,"Calumpang Lowland Irrigator Farmers Association, Inc.",1943.0,2139.0
TUY-BAANAN CIS,,Maimpez River ,Gravity,35,35,35,34,"Tuy-Baanan Irrigators' Association, Inc.",2022.0,
BUNGKOL CIS,,Bungkol River ,Gravity,63,63,63,34,"Bungkol Farmer Irrigations Association, Inc.",1504.0,
MASIKAP CIS,,Spring,Gravity,44,44,44,44,"Samahang Magsasaka ng Cabuyew, Inc.",5896.0,
BANAGO CIS,,Spring ,Gravity,16,16,8,17,"Banago-San Francisco Rice Farmers Irrigators' Association, Inc.",824.0,397.0
BANILAD CIS,,Spring,Gravity,35,35,35,34," Samahan ng Magsasaka ng Banilad Nagcarlan Irrigators' Association, Inc.",2396.0,
PALAYAN CIS,,Salak Creek,Gravity,41,41,41,26,"Samahang Maiit-Palayan Irrigators' Association, Inc.",1854.0,
TAYTAY CIS,,Spring,Gravity,42,42,35,42,Taytay Farmers Small Water  Irrigation System,1640.0,284.0
